localSpeciesId,GBIFSpeciesId,INaturalistSpeciesId,otherCatalogNumbers,scientificName,previousIdentifications,vernacularName,previousVernacularNames,family,isInvasive,isRare
121,1805111,435319,,"Ocnogyna loewii",,"דובון אביב","דובון הקורים",Erebidae,0,0
122,1807966,974374,,"Paidia cinerascens",,"דובון אפרפר",,Erebidae,0,0
123,1814538,335664,,"Cymbalophora oertzeni",,"דובון מנומר",,Erebidae,0,0
124,1803163,201279,,"Utetheisa pulchella",,"דובון יפהפה",,Erebidae,0,0
125,1945877,142935,,"Pelopidas thrax",,"הספרית הדוחן",,Hesperiidae,0,0
126,5142352,363796,,"Gegenes pumilio",,"הספרית שחורה",,Hesperiidae,0,0
127,1919346,203124,,"Catopsilia florella",,"הגרן הסנא"," לבנין כאסיה",Pieridae,0,0
128,4535106,960200,,"Tarucus balkanica",,"כחלון הבלקן","כחליל הבלקן",Lycaenidae,0,0
129,1932752,119664,,"Cacyreus marshalli",,"כחלון הפלרגון","כחליל הפלרגון",Lycaenidae,0,0
131,1926550,326019,,"Azanus ubaldus",,"כחלון השיטה"," כחליל שיטה",Lycaenidae,0,0
132,1932976,209691,,"Leptotes pirithous",,"כחלון האספסת","כחליל האספסת | כחליל קצר־זנב",Lycaenidae,0,0
133,1925381,479734,9036079,"Thersamonia thersamon","Lycaena thersamon","נחושתן החומעה","כחליל החומעה",Lycaenidae,0,0
134,1924713,121993,,"Lampides boeticus",,"כחלון האפון","כחליל האפון",Lycaenidae,0,0
137,5138543,362078,7597891,"Plebejus amanda","Polyommatus amandus","כחליל הבקיה",,Lycaenidae,0,0
138,1933647,125512,,"Zizeeria karsandra",,"כחלון הקוטב","כחליל הקוטב",Lycaenidae,0,0
139,5140214,55641,"GBIF:12369676 | GBIF:5883559 | INat:496920","Polyommatus icarus","Papilio icarus | Polyommatus icarus subsp. Zelleri","כחליל השברק",,Lycaenidae,0,0
140,6240927,321464,1922581,"Pseudophilotes baton","Pseudophilotes vicrama","תכליל האזוב","כחליל האזוב",Lycaenidae,0,0
141,5138681,208979,5882969,"Nordmannia ilicis","Satyrium ilicis","שעיר האלון","כחליל האלון",Lycaenidae,0,0
142,10879371,1231330,,"Plebejidea loewi","Plebejidea loewii | Polyommatus loewii","כחליל המדבר",,Lycaenidae,0,0
143,1926546,208507,,"Azanus jesous",,"כחלון הינבוט","כחליל הינבוט",Lycaenidae,0,0
144,5139339,466198,,"Lycaena asabinus",,"נחושתן מזרחי","כחליל מזרחי",Lycaenidae,0,0
146,1919712,51495,,"Anthocharis cardamines",,"כתום-כנף המצילתיים",,Pieridae,0,0
147,9262733,899762,,"Melitaea acentria",,"כתמית החרמון"," נמפית פרסית",Nymphalidae,0,0
150,8393082,133295,,"Melitaea didyma",,"כתמית הלבנון"," נמפית לבנון",Nymphalidae,0,0
