Category,Scientific Name,Hebrew Name
חרקים אחרים,Aglossa aglossalis,אגלוסה אגלוסליס
חרקים אחרים,Agrotis pierreti,אגרוטיס פיירטי
חרקים אחרים,Agriphila beieri,אגריפילה ביירי
חרקים אחרים,Eublemma siticuosa,אובלמה אלבינה
חרקים אחרים,Odites kollarella,אודיטס קולרלה
חרקים אחרים,Euzophera osseatella,אוזופרה אוסאטלה
חרקים אחרים,Euzophera lunulella,אוזופרה לונוללה
חרקים אחרים,Oiketicoides lutea,ססתיק צהוב
חרקים אחרים,Euchromius bella,אוכרומיוס בלה
חרקים אחרים,Euchromius superbella,אוכרומיוס סופרבלוס
חרקים אחרים,Euchromius cambridgei,אאוכרומיוס קמברידג`אי
חרקים אחרים,Euchromius ramburiellus,אוכרומיוס רמבוריאלוס
חרקים אחרים,Eumannia fumosata,אומניה פומוסטה
חרקים אחרים,Eumera turcosyrica,אומרה טורקוסוריקה
חרקים אחרים,Usgentia vespertalis,אוסגנטיה וספרטליס
חרקים אחרים,Eupithecia extremata,אופיטסיה אקסטרמטה
חרקים אחרים,Eupithecia syriacata,אופיטסיה סיריאקטה
חרקים אחרים,Earias syriacana,איאריס סיריאקנה
חרקים אחרים,Idaea intermedia,אידאה אינטרמדיה
חרקים אחרים,Idaea infirmaria,אידאה אינפרמריה
חרקים אחרים,Idaea inclinata,אידאה אינקלינטה
חרקים אחרים,Idaea affinitata,אידאה אפיניטטה
חרקים אחרים,Idaea distinctaria,אידאה דיסטינקטריה
חרקים אחרים,Idaea longaria,אידאה לונגריה
חרקים אחרים,Idaea palaestinensis,אידאה פלשתינאית
חרקים אחרים,Idaea consanguinaria,אידאה קונסנגווינריה
חרקים אחרים,Muscula muscula,איילמה מוסקולה
חרקים אחרים,Isturgia berytaria,איסטורגיה בריטריה
חרקים אחרים,Isturgia disputaria,איסטורגיה דיספוטריה
חרקים אחרים,Albarracina warionis,טוואית השרביטן
חרקים אחרים,Alophia combustella,אלופיה קומבוסטלה
חרקים אחרים,Ematheudes punctellus,אמאתאודס פונקטלה
חרקים אחרים,Amblypalpis olivierella,עשבחנין הכישור
חרקים אחרים,Amicta quadrangularis,ססתיק מרובע
חרקים אחרים,Ancylosis convexella,אנצילוזיס קונבקסה
חרקים אחרים,Ancylolomia palpella,אנצילולומיה פלפלה
חרקים אחרים,Ancylolomia pectinatella,אנצילולומיה פקטינטלוס
חרקים אחרים,Acidaliastis micra,אסידאליאסטיס מיקרה
חרקים אחרים,Arenipses sabella,אפומיה סבלה
חרקים אחרים,Aporodes floralis,אפורודס פלורליס
חרקים אחרים,Aporophyla canescens,אפורופילה קנסנס
חרקים אחרים,Episema glaucina,אפיסמה גלאוסינה
חרקים אחרים,Epicallima icterinella,אפיקלימה איקטרינלה
חרקים אחרים,Acrobasis glaucella,אקרובסיס פלואלה
חרקים אחרים,Acrobasis romanella,אקרובסיס רומנלה
חרקים אחרים,Acronicta pasiphae,אקרוניקטה פסיפאה
חרקים אחרים,Atethmia ambusta,אתתמיה אמבוסטה
חרקים אחרים,Boursinia discordans,בורסיניה דיסקורדנס
חרקים אחרים,Bifascioides leucomelanella,ביפסקיואידס לאוקומלנלה
חרקים אחרים,Bembecia stiziformis,במבציה סטיזיפורמיס
חרקים אחרים,Bryophila tephrocharis,בריופילה טפרוכאריס
חרקים אחרים,Bryophila rectilinea,בריופילה רקטילינאה
חרקים אחרים,Brachyglossina purpureomarginata,ברכיגלוסינה פורפוראומארגינטה
חרקים אחרים,Grammodes boisdeffrii,גרמוודס בואסדפרי
חרקים אחרים,Dolicharthria bruguieralis,דוליכארתריה ברוגייראליס
חרקים אחרים,Dolicharthria daralis,דוליכארתריה דארליס
חרקים אחרים,Dattinia guttosalis,דטיניה גוטוזליס
חרקים אחרים,Dysauxes punctata,דיסאוקסס פמולה
חרקים אחרים,Gnophos sartata,מודד אפלולי
חרקים אחרים,Dasycorsa modesta,דסיקורסה מודסטה
