Unmatched species from master-species-map.ts after join with species_master_list.csv
Total unmatched: 1762

Melilotus indicus
Meliscaeva auricollis
Melissa officinalis
Melitaea syriaca
Melitturga syriaca
Meloe proscarabaeus
Meloe tuccius
Menemerus semilimbatus
Mentha longifolia
Mentha pulegium
Mercurialis annua
Mesophleps ochracella
Mesoprionus besikanus
Messor hebraeus
Metallostichodes nigrocyanella
Metasia corsicalis
Metzneria agraphella
Micromeria fruticosa
Micrommata ligurina
Miomantis paykullii
Mirificarma aflavella
Moluccella laevis
Moluccella spinosa
Monacha obstructa
Monacha syriaca
Monomorium salomonis
Moraea sisyrinchium
Morphacris fasciata
Mus musculus
Musca domestica
Mutarda arvensis
Mutarda nigra
Mycena seynii
Mycena tenerrima
Myinodes shohami
Myiopsitta monachus
Mylabris quadripunctata
Myocastor coypus
Mythimna alopecuri
Mythimna ferrago
Mythimna sicula
Myzus persicae
Nannospalax ehrenbergi
Narcissus tazetta
Nasturtium officinale
Nebo hierichonticus
Necrobia violacea
Neoerysiphe galeopsidis
Neomyia cornicina
Neoscona adianta
Neotinea tridentata
Nephrotoma scalaris
Nerium oleander
Nezara viridula
Nigella ciliaris
Nigella unguicularis
Niphona picticornis
Noccaea perfoliata
Noctua comes
Noorda blitealis
Nostoc commune
Notobasis syriaca
Notostaurus anatolicus
Nychiodes palaestinensis
Nycticorax nycticorax
Ochthodium aegyptiacum
Ocneria lapidicola
Oecia oecophila
Oedemera flavipes
Oedemera natolica
Oedipoda caerulescens
Oedipoda miniata
Oenanthe oenanthe
Oligotoma nigra
Oloptum miliaceum
Omophlus syriacus
Onobrychis caput-galli
Ononis alopecuroides
Ononis hirta
Ononis mitissima
Ononis natrix
Ononis pubescens
Ononis spinosa
Ononis viscosa
Onopordum cynarocephalum
Ophelimus maskelli
Ophrys bornmuelleri
Ophrys fuciflora
Ophrys lutea galilaea
Ophrys sphegodes
Ophrys umbilicata
Opuntia ficus-indica
Orchamus hebraeus
Orchis anatolica
Orchis galilaea
Orgyia trigotephras
Oria musculosa
Origanum syriacum
Ornithogalum lanceolatum
Ornithogalum montanum
Ornithogalum narbonense
Ortaliella palaestinensis
Orthetrum chrysostigma
Orthetrum sabina
Orthetrum trinacria
Orthonama obstipata
Osmia latreillei
Oulobophora externaria
Oxalis pes-caprae
Oxycarenus hyalinipennis
Oxythyrea cinctella
Oxythyrea noemi
Pallenis spinosa
Palpares libelluloides
Panaeolus papilionaceus
Pandesma robusta
Pandion haliaetus
Panicum repens
Papaver carmeli
Papaver umbonatum
Parahypopta caestrum
Parapholidoptera punctifrons
Paratrechina longicornis
Parkinsonia aculeata
Paronychia argentea
Paropta paradoxus
Paropta paradoxus kathikas
Parthenium hysterophorus
Parus major
Paspalum dilatatum
Paspalum distichum
Passer domesticus
Pediasia desertellus
Pelecanus onocrotalus
Pelophylax ridibundus
Periplaneta americana
Persicaria decipiens
Persicaria lapathifolia
Peucedanum junceum
Pexicopia malvella
Phaiogramma etruscaria
Phalacrocorax carbo
Phalaris minor
Phalaris paradoxa
Phaneroptera nana
Phelipanche nana
Philaeus chrysops
Philereme transversata
Phloiocopus andresi
Phlomis viscosa
Phlomoides laciniata
Phoenicolacerta laevis
Phoenicopterus roseus
Phoenix dactylifera
Pholiota highlandensis
Phragmites australis
Phyla nodiflora
Phyllomorpha laciniata
Physalis acutifolia
Physalis angulata
Physarum album
Physella acuta
Picnomon acarna
Piptatherum holciforme
Pisaura consocia
Pisaura mirabilis
Pistacia atlantica
Pistacia lentiscus
Pistacia terebinthus
Pisum fulvum
Plagiolepis pallescens
Plagionotus bobelayei
Plantago lagopus
Plantago lanceolata
Plantago major
Platyceps collaris
Platycnemis dealbata
Plegadis falcinellus
Plexippus paykulli
Plinachtus imitator
Pluchea dioscoridis
Plumbago europaea
Podagrica fuscicornis
Poecilia reticulata
Polistes dominula
Polistes mongolicus
Polygala monspeliaca
Polygonum equisetiforme
Polymixis ancepsoides
Polyocha venosa
Polyphaenis propinqua
Polyphaga aegyptiaca
Polypogon monspeliensis
Polypogon viridis
Polyxenus lagurus
Porcellionides pruinosus
Porcellionides trifasciatus
Portulaca oleracea
Prays citri
Prinia gracilis
Prinobius myardi
Prionosthenus galericulatus
Procavia capensis
Prochora lycosiformis
Promachus griseiventris
Prosopis farcta
Protaetia cuprea
Protaetia cuprea ignicollis
Protaetia judith
Prunus amygdalus
Psammophis schokari
Pseudagrion sublacteum
Pseudagrion syriacum
Pseudaletia unipuncta
Pseudophilotes vicrama
Pseudopus apodus levantinus
Pseudoterpna coronillaria halperini
Psittacula krameri
Ptyodactylus guttatus
Pulchellodromus pulchellus
Pulicaria dysenterica
Punica granatum
Pycnonotus xanthopygos
Pyralis regalis
Pyrausta pauperalis
Pyrausta virginalis
Pyrrhocoris apterus
Quercus coccifera
Quercus ithaburensis
Quidproquo confusum
Ranunculus arvensis
Ranunculus asiaticus
Ranunculus muricatus
Raphanus raphanistrum
Rapistrum rugosum
Reseda alba
Rhamnus alaternus
Rhamnus lycioides
Rhinocyllus conicus
Rhipicephalus sanguineus
Rhodostrophia discopunctata
Rhynocoris punctiventris
Ricinus communis
Ricotia lunaria
Ridolfia segetum
Rivetina byblica
Romulea tempskyana
Rta clade
Rubus creticus
Rumex crispus
Rumex dentatus
Rumex spinosus
Russula cerolens
Russula ochroleuca
Ruta chalepensis
Saga ornata
Sagina apetala
Salix acmophylla
Salix alba
Salvia dominica
Salvia fruticosa
Salvia hierosolymitana
Salvia judaica
Salvia pinnata
Salvia verbenaca
Salvia viridis
Sarcopoterium spinosum
Satureja thymbra
Satyrium spini
Saxicola rubicola
Scandix pecten-veneris
Scandix verna
Scantius aegyptius
Scathophaga stercoraria
Sceliphron spirifex
Schenkia spicata
Schizophyllum commune
Scilla hyacinthoides
Scolopendra cingulata
Scolopendra clavipes
Scolymus maculatus
Scopula marginepunctata
Scopula submutata
Scorpio fuscus
Scotochrosta pulla
Scotophaeus blackwalli
Scrophularia canina
Scrophularia rubricaulis
Scytodes thoracica
Securigera securidaca
Sedum cespitosum
Sedum microcarpum
Sedum rubens
Selidosema brunnearia
Senecio vernalis
Serapias orientalis levantina
Serinus serinus
Sesbania sesban
Sherardia arvensis
Silene aegyptiaca
Silene colorata
Silene palaestina
Silene reinwardtii
Silybum marianum
Sinapis alba
Sisymbrium officinale
Smilax aspera
Smyrnium olusatrum
Solanum elaeagnifolium
Solanum lycopersicum
Solanum lycopersicum cerasiforme
Solanum nigrum
Solanum rostratum
Sonchus oleraceus
Sorghum halepense
Sphaeroderma testaceum
Sphaerophoria scripta
Sphex flavipennis
Sphodromantis viridis
Spilopelia senegalensis
Spilostethus pandurus
Spodoptera frugiperda
Spongiporus balsameus
Sporobolus schoenoides
Squamarina cartilaginea
Stachys arabica
Stachys distans
Stachys neurocalycina
Stachys viticina
Steatoda paykulliana
Steatoda triangulosa
Stellaria media
Stemmatophora brunnealis
Stemmatophora syriacalis
Stenopterus rufus
Stenopterus rufus syriacus
Stenozygum coloratum
Stereum hirsutum
Stereum sanguinolentum
Sternbergia colchiciflora
Stilbia syriaca
Stiphrometasia sancta
Streptopelia decaocto
Stromatium auratum
Sturnus vulgaris
Styrax officinalis
Suncus etruscus
Sus scrofa
Symmoca dodecatella
Sympetrum fonscolombii
Sympherobius pygmaeus
Symphyotrichum subulatum
Synema globosum
Synophropsis lauri
Synthesiomyia nudiseta
Tachina fera
Tachymarptis melba
Tegenaria mediterranea
Teucrium divaricatum
Thamnotettix zelleri
Thanatus formicinus
Thanatus vulgaris
Theba pisana
Theligonum cynocrambe
Thomisus citrinellus
Thomisus onustus
Thyene imperialis
Thymbra spicata
Thymelaea hirsuta
Thyridiphora furia
Titanidiops syriacus
Tolpis virgata
Tordylium trachycarpum
Torilis arvensis
Tortella tortuosa
Tragopogon coelesyriacus
Tribulus terrestris
Trichiura stroehlei
Trichodes affinis
Trichodes syriacus
Trichoferus fasciculatus
Trichoferus griseus
Trifolium alexandrinum
Trifolium argutum
